abstract_ja,category,priority,expected_min,notes
嘘,concept,medium,4,抽象概念の検索カバレッジ確認語。関連絵文字を最低4件想定。
秘密,concept,medium,4,抽象概念の検索カバレッジ確認語。関連絵文字を最低4件想定。
発見,concept,medium,4,抽象概念の検索カバレッジ確認語。関連絵文字を最低4件想定。
理解,concept,medium,4,抽象概念の検索カバレッジ確認語。関連絵文字を最低4件想定。
発想,concept,medium,4,抽象概念の検索カバレッジ確認語。関連絵文字を最低4件想定。
気づき,concept,medium,4,抽象概念の検索カバレッジ確認語。関連絵文字を最低4件想定。
増加,concept,medium,4,抽象概念の検索カバレッジ確認語。関連絵文字を最低4件想定。
減少,concept,medium,4,抽象概念の検索カバレッジ確認語。関連絵文字を最低4件想定。
限界,concept,medium,4,抽象概念の検索カバレッジ確認語。関連絵文字を最低4件想定。
無限,concept,medium,4,抽象概念の検索カバレッジ確認語。関連絵文字を最低4件想定。
偶然,concept,medium,4,抽象概念の検索カバレッジ確認語。関連絵文字を最低4件想定。
運命,concept,medium,4,抽象概念の検索カバレッジ確認語。関連絵文字を最低4件想定。
奇跡,concept,medium,4,抽象概念の検索カバレッジ確認語。関連絵文字を最低4件想定。
冒険,concept,medium,4,抽象概念の検索カバレッジ確認語。関連絵文字を最低4件想定。
安全,concept,medium,4,抽象概念の検索カバレッジ確認語。関連絵文字を最低4件想定。
禁止,concept,medium,4,抽象概念の検索カバレッジ確認語。関連絵文字を最低4件想定。
許可,concept,medium,4,抽象概念の検索カバレッジ確認語。関連絵文字を最低4件想定。
共有,concept,medium,4,抽象概念の検索カバレッジ確認語。関連絵文字を最低4件想定。
保存,concept,medium,4,抽象概念の検索カバレッジ確認語。関連絵文字を最低4件想定。
更新,concept,medium,4,抽象概念の検索カバレッジ確認語。関連絵文字を最低4件想定。
選択,concept,medium,4,抽象概念の検索カバレッジ確認語。関連絵文字を最低4件想定。
集中,concept,medium,4,抽象概念の検索カバレッジ確認語。関連絵文字を最低4件想定。
混乱,concept,medium,4,抽象概念の検索カバレッジ確認語。関連絵文字を最低4件想定。
整理,concept,medium,4,抽象概念の検索カバレッジ確認語。関連絵文字を最低4件想定。
進化,concept,medium,4,抽象概念の検索カバレッジ確認語。関連絵文字を最低4件想定。
可能性,concept,medium,4,抽象概念の検索カバレッジ確認語。関連絵文字を最低4件想定。
目的,concept,medium,4,抽象概念の検索カバレッジ確認語。関連絵文字を最低4件想定。
理由,concept,medium,4,抽象概念の検索カバレッジ確認語。関連絵文字を最低4件想定。
結果,concept,medium,4,抽象概念の検索カバレッジ確認語。関連絵文字を最低4件想定。
原因,concept,medium,4,抽象概念の検索カバレッジ確認語。関連絵文字を最低4件想定。
価値,concept,medium,4,抽象概念の検索カバレッジ確認語。関連絵文字を最低4件想定。
後退,concept,low,2,抽象概念の検索カバレッジ確認語。関連絵文字を最低2件想定。
誤解,concept,low,2,抽象概念の検索カバレッジ確認語。関連絵文字を最低2件想定。
必然,concept,low,2,抽象概念の検索カバレッジ確認語。関連絵文字を最低2件想定。
削除,concept,low,2,抽象概念の検索カバレッジ確認語。関連絵文字を最低2件想定。
革命,concept,low,2,抽象概念の検索カバレッジ確認語。関連絵文字を最低2件想定。
成熟,concept,low,2,抽象概念の検索カバレッジ確認語。関連絵文字を最低2件想定。
未熟,concept,low,2,抽象概念の検索カバレッジ確認語。関連絵文字を最低2件想定。
可逆性,concept,low,2,抽象概念の検索カバレッジ確認語。関連絵文字を最低2件想定。
矛盾,concept,low,2,抽象概念の検索カバレッジ確認語。関連絵文字を最低2件想定。
家族,relationship,high,8,人間関係の検索カバレッジ確認語。関連絵文字を最低8件想定。
親,relationship,high,8,人間関係の検索カバレッジ確認語。関連絵文字を最低8件想定。
子,relationship,high,8,人間関係の検索カバレッジ確認語。関連絵文字を最低8件想定。
夫婦,relationship,high,8,人間関係の検索カバレッジ確認語。関連絵文字を最低8件想定。
親子,relationship,high,8,人間関係の検索カバレッジ確認語。関連絵文字を最低8件想定。
友達,relationship,high,8,人間関係の検索カバレッジ確認語。関連絵文字を最低8件想定。
恋人,relationship,high,8,人間関係の検索カバレッジ確認語。関連絵文字を最低8件想定。
結婚,relationship,high,8,人間関係の検索カバレッジ確認語。関連絵文字を最低8件想定。
推し,relationship,high,8,人間関係の検索カバレッジ確認語。関連絵文字を最低8件想定。
仲間,relationship,high,8,人間関係の検索カバレッジ確認語。関連絵文字を最低8件想定。
チーム,relationship,medium,8,人間関係の検索カバレッジ確認語。関連絵文字を最低6件想定。
兄弟,relationship,medium,4,人間関係の検索カバレッジ確認語。関連絵文字を最低4件想定。
姉妹,relationship,medium,4,人間関係の検索カバレッジ確認語。関連絵文字を最低4件想定。
祖父母,relationship,medium,4,人間関係の検索カバレッジ確認語。関連絵文字を最低4件想定。
孫,relationship,medium,4,人間関係の検索カバレッジ確認語。関連絵文字を最低4件想定。
親友,relationship,medium,4,人間関係の検索カバレッジ確認語。関連絵文字を最低4件想定。
同級生,relationship,medium,4,人間関係の検索カバレッジ確認語。関連絵文字を最低4件想定。
先輩,relationship,medium,4,人間関係の検索カバレッジ確認語。関連絵文字を最低4件想定。
後輩,relationship,medium,4,人間関係の検索カバレッジ確認語。関連絵文字を最低4件想定。
先生,relationship,medium,4,人間関係の検索カバレッジ確認語。関連絵文字を最低4件想定。
生徒,relationship,medium,4,人間関係の検索カバレッジ確認語。関連絵文字を最低4件想定。
上司,relationship,medium,4,人間関係の検索カバレッジ確認語。関連絵文字を最低4件想定。
部下,relationship,medium,4,人間関係の検索カバレッジ確認語。関連絵文字を最低4件想定。
同僚,relationship,medium,4,人間関係の検索カバレッジ確認語。関連絵文字を最低4件想定。
彼氏,relationship,medium,4,人間関係の検索カバレッジ確認語。関連絵文字を最低4件想定。
彼女,relationship,medium,4,人間関係の検索カバレッジ確認語。関連絵文字を最低4件想定。
片思い,relationship,medium,4,人間関係の検索カバレッジ確認語。関連絵文字を最低4件想定。
両思い,relationship,medium,4,人間関係の検索カバレッジ確認語。関連絵文字を最低4件想定。
失恋,relationship,medium,4,人間関係の検索カバレッジ確認語。関連絵文字を最低4件想定。
告白,relationship,medium,4,人間関係の検索カバレッジ確認語。関連絵文字を最低4件想定。
ファン,relationship,medium,4,人間関係の検索カバレッジ確認語。関連絵文字を最低4件想定。
敵,relationship,medium,4,人間関係の検索カバレッジ確認語。関連絵文字を最低4件想定。
味方,relationship,medium,4,人間関係の検索カバレッジ確認語。関連絵文字を最低4件想定。
ライバル,relationship,medium,4,人間関係の検索カバレッジ確認語。関連絵文字を最低4件想定。
店員,relationship,medium,4,人間関係の検索カバレッジ確認語。関連絵文字を最低4件想定。
仲直り,relationship,medium,4,人間関係の検索カバレッジ確認語。関連絵文字を最低4件想定。
別れ,relationship,medium,4,人間関係の検索カバレッジ確認語。関連絵文字を最低4件想定。
再会,relationship,medium,4,人間関係の検索カバレッジ確認語。関連絵文字を最低4件想定。
相棒,relationship,medium,4,人間関係の検索カバレッジ確認語。関連絵文字を最低4件想定。
離婚,relationship,low,2,人間関係の検索カバレッジ確認語。関連絵文字を最低2件想定。
知り合い,relationship,low,2,人間関係の検索カバレッジ確認語。関連絵文字を最低2件想定。
他人,relationship,low,2,人間関係の検索カバレッジ確認語。関連絵文字を最低2件想定。
ご近所,relationship,low,2,人間関係の検索カバレッジ確認語。関連絵文字を最低2件想定。
先祖,relationship,low,2,人間関係の検索カバレッジ確認語。関連絵文字を最低2件想定。
客,relationship,low,2,人間関係の検索カバレッジ確認語。関連絵文字を最低2件想定。
義兄弟,relationship,low,2,人間関係の検索カバレッジ確認語。関連絵文字を最低2件想定。
義姉妹,relationship,low,2,人間関係の検索カバレッジ確認語。関連絵文字を最低2件想定。
恩人,relationship,low,2,人間関係の検索カバレッジ確認語。関連絵文字を最低2件想定。
日本,culture,high,10,文化・地域・国の検索カバレッジ確認語。関連絵文字を最低10件想定。
海外,culture,high,8,文化・地域・国の検索カバレッジ確認語。関連絵文字を最低8件想定。
和風,culture,high,8,文化・地域・国の検索カバレッジ確認語。関連絵文字を最低8件想定。
おしゃれ,culture,medium,8,文化・地域・国の検索カバレッジ確認語。関連絵文字を最低6件想定。
アニメ,culture,high,8,文化・地域・国の検索カバレッジ確認語。関連絵文字を最低8件想定。
漫画,culture,high,8,文化・地域・国の検索カバレッジ確認語。関連絵文字を最低8件想定。
映画,culture,high,8,文化・地域・国の検索カバレッジ確認語。関連絵文字を最低8件想定。
祭り,culture,high,8,文化・地域・国の検索カバレッジ確認語。関連絵文字を最低8件想定。
和食,culture,medium,8,文化・地域・国の検索カバレッジ確認語。関連絵文字を最低6件想定。
アジア,culture,medium,4,文化・地域・国の検索カバレッジ確認語。関連絵文字を最低4件想定。
欧米,culture,medium,4,文化・地域・国の検索カバレッジ確認語。関連絵文字を最低4件想定。
地元,culture,medium,4,文化・地域・国の検索カバレッジ確認語。関連絵文字を最低4件想定。
田舎,culture,medium,4,文化・地域・国の検索カバレッジ確認語。関連絵文字を最低4件想定。
都会,culture,medium,4,文化・地域・国の検索カバレッジ確認語。関連絵文字を最低4件想定。
東京,culture,medium,4,文化・地域・国の検索カバレッジ確認語。関連絵文字を最低4件想定。
大阪,culture,medium,4,文化・地域・国の検索カバレッジ確認語。関連絵文字を最低4件想定。
京都,culture,medium,4,文化・地域・国の検索カバレッジ確認語。関連絵文字を最低4件想定。
洋風,culture,medium,4,文化・地域・国の検索カバレッジ確認語。関連絵文字を最低4件想定。
伝統,culture,medium,4,文化・地域・国の検索カバレッジ確認語。関連絵文字を最低4件想定。
モダン,culture,medium,4,文化・地域・国の検索カバレッジ確認語。関連絵文字を最低4件想定。
レトロ,culture,medium,4,文化・地域・国の検索カバレッジ確認語。関連絵文字を最低4件想定。
K-POP,culture,medium,4,文化・地域・国の検索カバレッジ確認語。関連絵文字を最低4件想定。
洋楽,culture,medium,4,文化・地域・国の検索カバレッジ確認語。関連絵文字を最低4件想定。
邦楽,culture,medium,4,文化・地域・国の検索カバレッジ確認語。関連絵文字を最低4件想定。
ドラマ,culture,medium,4,文化・地域・国の検索カバレッジ確認語。関連絵文字を最低4件想定。
神社,culture,medium,4,文化・地域・国の検索カバレッジ確認語。関連絵文字を最低4件想定。
寺,culture,medium,4,文化・地域・国の検索カバレッジ確認語。関連絵文字を最低4件想定。
教会,culture,medium,4,文化・地域・国の検索カバレッジ確認語。関連絵文字を最低4件想定。
お祈り,culture,medium,4,文化・地域・国の検索カバレッジ確認語。関連絵文字を最低4件想定。
占い,culture,medium,4,文化・地域・国の検索カバレッジ確認語。関連絵文字を最低4件想定。
スピリチュアル,culture,medium,4,文化・地域・国の検索カバレッジ確認語。関連絵文字を最低4件想定。
運勢,culture,medium,4,文化・地域・国の検索カバレッジ確認語。関連絵文字を最低4件想定。
花火大会,culture,medium,4,文化・地域・国の検索カバレッジ確認語。関連絵文字を最低4件想定。
洋食,culture,medium,4,文化・地域・国の検索カバレッジ確認語。関連絵文字を最低4件想定。
中華,culture,medium,4,文化・地域・国の検索カバレッジ確認語。関連絵文字を最低4件想定。
韓国,culture,medium,4,文化・地域・国の検索カバレッジ確認語。関連絵文字を最低4件想定。
星座,culture,medium,4,文化・地域・国の検索カバレッジ確認語。関連絵文字を最低4件想定。
干支,culture,medium,4,文化・地域・国の検索カバレッジ確認語。関連絵文字を最低4件想定。
忍者,culture,medium,4,文化・地域・国の検索カバレッジ確認語。関連絵文字を最低4件想定。
侍,culture,medium,4,文化・地域・国の検索カバレッジ確認語。関連絵文字を最低4件想定。
ニューヨーク,culture,low,2,文化・地域・国の検索カバレッジ確認語。関連絵文字を最低2件想定。
パリ,culture,low,2,文化・地域・国の検索カバレッジ確認語。関連絵文字を最低2件想定。
ロンドン,culture,low,2,文化・地域・国の検索カバレッジ確認語。関連絵文字を最低2件想定。
神話,culture,low,2,文化・地域・国の検索カバレッジ確認語。関連絵文字を最低2件想定。
仏教,culture,low,2,文化・地域・国の検索カバレッジ確認語。関連絵文字を最低2件想定。
キリスト教,culture,low,2,文化・地域・国の検索カバレッジ確認語。関連絵文字を最低2件想定。
茶道,culture,low,2,文化・地域・国の検索カバレッジ確認語。関連絵文字を最低2件想定。
能楽,culture,low,2,文化・地域・国の検索カバレッジ確認語。関連絵文字を最低2件想定。
落語,culture,low,2,文化・地域・国の検索カバレッジ確認語。関連絵文字を最低2件想定。
歌舞伎,culture,low,2,文化・地域・国の検索カバレッジ確認語。関連絵文字を最低2件想定。
サッカー,hobby,high,3,趣味・活動の検索カバレッジ確認語。関連絵文字を最低3件想定。
野球,hobby,high,8,趣味・活動の検索カバレッジ確認語。関連絵文字を最低8件想定。
ランニング,hobby,high,8,趣味・活動の検索カバレッジ確認語。関連絵文字を最低8件想定。
音楽,hobby,high,8,趣味・活動の検索カバレッジ確認語。関連絵文字を最低8件想定。
写真,hobby,high,8,趣味・活動の検索カバレッジ確認語。関連絵文字を最低8件想定。
ゲーム,hobby,high,8,趣味・活動の検索カバレッジ確認語。関連絵文字を最低8件想定。
読書,hobby,high,8,趣味・活動の検索カバレッジ確認語。関連絵文字を最低8件想定。
ライブ,hobby,high,8,趣味・活動の検索カバレッジ確認語。関連絵文字を最低8件想定。
推し活,hobby,high,8,趣味・活動の検索カバレッジ確認語。関連絵文字を最低8件想定。
バスケ,hobby,medium,4,趣味・活動の検索カバレッジ確認語。関連絵文字を最低4件想定。
テニス,hobby,medium,4,趣味・活動の検索カバレッジ確認語。関連絵文字を最低4件想定。
水泳,hobby,medium,4,趣味・活動の検索カバレッジ確認語。関連絵文字を最低4件想定。
ヨガ,hobby,medium,4,趣味・活動の検索カバレッジ確認語。関連絵文字を最低4件想定。
筋トレ,hobby,medium,4,趣味・活動の検索カバレッジ確認語。関連絵文字を最低4件想定。
登山,hobby,medium,4,趣味・活動の検索カバレッジ確認語。関連絵文字を最低4件想定。
ダンス,hobby,medium,4,趣味・活動の検索カバレッジ確認語。関連絵文字を最低4件想定。
絵,hobby,medium,4,趣味・活動の検索カバレッジ確認語。関連絵文字を最低4件想定。
DIY,hobby,medium,4,趣味・活動の検索カバレッジ確認語。関連絵文字を最低4件想定。
ガーデニング,hobby,medium,4,趣味・活動の検索カバレッジ確認語。関連絵文字を最低4件想定。
カラオケ,hobby,medium,4,趣味・活動の検索カバレッジ確認語。関連絵文字を最低4件想定。
フェス,hobby,medium,4,趣味・活動の検索カバレッジ確認語。関連絵文字を最低4件想定。
釣り,hobby,medium,4,趣味・活動の検索カバレッジ確認語。関連絵文字を最低4件想定。
ハイキング,hobby,medium,4,趣味・活動の検索カバレッジ確認語。関連絵文字を最低4件想定。
サイクリング,hobby,medium,4,趣味・活動の検索カバレッジ確認語。関連絵文字を最低4件想定。
海水浴,hobby,medium,4,趣味・活動の検索カバレッジ確認語。関連絵文字を最低4件想定。
スキー,hobby,medium,4,趣味・活動の検索カバレッジ確認語。関連絵文字を最低4件想定。
瞑想,hobby,medium,4,趣味・活動の検索カバレッジ確認語。関連絵文字を最低4件想定。
貯金,hobby,medium,4,趣味・活動の検索カバレッジ確認語。関連絵文字を最低4件想定。
カフェ巡り,hobby,medium,4,趣味・活動の検索カバレッジ確認語。関連絵文字を最低4件想定。
コスプレ,hobby,medium,4,趣味・活動の検索カバレッジ確認語。関連絵文字を最低4件想定。
旅行計画,hobby,medium,4,趣味・活動の検索カバレッジ確認語。関連絵文字を最低4件想定。
温泉,hobby,medium,4,趣味・活動の検索カバレッジ確認語。関連絵文字を最低4件想定。
散策,hobby,medium,4,趣味・活動の検索カバレッジ確認語。関連絵文字を最低4件想定。
映画鑑賞,hobby,medium,4,趣味・活動の検索カバレッジ確認語。関連絵文字を最低4件想定。
料理研究,hobby,medium,4,趣味・活動の検索カバレッジ確認語。関連絵文字を最低4件想定。
手芸,hobby,low,2,趣味・活動の検索カバレッジ確認語。関連絵文字を最低2件想定。
スノボ,hobby,low,2,趣味・活動の検索カバレッジ確認語。関連絵文字を最低2件想定。
投資,hobby,low,2,趣味・活動の検索カバレッジ確認語。関連絵文字を最低2件想定。
ボードゲーム,hobby,low,2,趣味・活動の検索カバレッジ確認語。関連絵文字を最低2件想定。
天体観測,hobby,low,2,趣味・活動の検索カバレッジ確認語。関連絵文字を最低2件想定。
エアロビ,hobby,low,2,趣味・活動の検索カバレッジ確認語。関連絵文字を最低2件想定。
陶芸,hobby,low,2,趣味・活動の検索カバレッジ確認語。関連絵文字を最低2件想定。
俳句,hobby,low,2,趣味・活動の検索カバレッジ確認語。関連絵文字を最低2件想定。
盆栽,hobby,low,2,趣味・活動の検索カバレッジ確認語。関連絵文字を最低2件想定。
手品,hobby,low,2,趣味・活動の検索カバレッジ確認語。関連絵文字を最低2件想定。
かわいい,evaluation,high,15,評価・印象の検索カバレッジ確認語。関連絵文字を最低15件想定。
かっこいい,evaluation,high,8,評価・印象の検索カバレッジ確認語。関連絵文字を最低8件想定。
美しい,evaluation,high,8,評価・印象の検索カバレッジ確認語。関連絵文字を最低8件想定。
きれい,evaluation,high,8,評価・印象の検索カバレッジ確認語。関連絵文字を最低8件想定。
面白い,evaluation,high,8,評価・印象の検索カバレッジ確認語。関連絵文字を最低8件想定。
新しい,evaluation,high,8,評価・印象の検索カバレッジ確認語。関連絵文字を最低8件想定。
すごい,evaluation,high,8,評価・印象の検索カバレッジ確認語。関連絵文字を最低8件想定。
温かい,evaluation,high,8,評価・印象の検索カバレッジ確認語。関連絵文字を最低8件想定。
明るい,evaluation,high,8,評価・印象の検索カバレッジ確認語。関連絵文字を最低8件想定。
ふわふわ,evaluation,high,8,評価・印象の検索カバレッジ確認語。関連絵文字を最低8件想定。
きらきら,evaluation,high,8,評価・印象の検索カバレッジ確認語。関連絵文字を最低8件想定。
ダサい,evaluation,medium,4,評価・印象の検索カバレッジ確認語。関連絵文字を最低4件想定。
地味,evaluation,medium,4,評価・印象の検索カバレッジ確認語。関連絵文字を最低4件想定。
派手,evaluation,medium,4,評価・印象の検索カバレッジ確認語。関連絵文字を最低4件想定。
つまらない,evaluation,medium,4,評価・印象の検索カバレッジ確認語。関連絵文字を最低4件想定。
古い,evaluation,medium,4,評価・印象の検索カバレッジ確認語。関連絵文字を最低4件想定。
シンプル,evaluation,medium,4,評価・印象の検索カバレッジ確認語。関連絵文字を最低4件想定。
複雑,evaluation,medium,4,評価・印象の検索カバレッジ確認語。関連絵文字を最低4件想定。
簡単,evaluation,medium,4,評価・印象の検索カバレッジ確認語。関連絵文字を最低4件想定。
難しい,evaluation,medium,4,評価・印象の検索カバレッジ確認語。関連絵文字を最低4件想定。
高級,evaluation,medium,4,評価・印象の検索カバレッジ確認語。関連絵文字を最低4件想定。
安い,evaluation,medium,4,評価・印象の検索カバレッジ確認語。関連絵文字を最低4件想定。
本物,evaluation,medium,4,評価・印象の検索カバレッジ確認語。関連絵文字を最低4件想定。
偽物,evaluation,medium,4,評価・印象の検索カバレッジ確認語。関連絵文字を最低4件想定。
上手,evaluation,medium,4,評価・印象の検索カバレッジ確認語。関連絵文字を最低4件想定。
下手,evaluation,medium,4,評価・印象の検索カバレッジ確認語。関連絵文字を最低4件想定。
普通,evaluation,medium,4,評価・印象の検索カバレッジ確認語。関連絵文字を最低4件想定。
不気味,evaluation,medium,4,評価・印象の検索カバレッジ確認語。関連絵文字を最低4件想定。
神秘的,evaluation,medium,4,評価・印象の検索カバレッジ確認語。関連絵文字を最低4件想定。
神聖,evaluation,medium,4,評価・印象の検索カバレッジ確認語。関連絵文字を最低4件想定。
爽やか,evaluation,medium,4,評価・印象の検索カバレッジ確認語。関連絵文字を最低4件想定。
冷たい,evaluation,medium,4,評価・印象の検索カバレッジ確認語。関連絵文字を最低4件想定。
激しい,evaluation,medium,4,評価・印象の検索カバレッジ確認語。関連絵文字を最低4件想定。
穏やか,evaluation,medium,4,評価・印象の検索カバレッジ確認語。関連絵文字を最低4件想定。
暗い,evaluation,medium,4,評価・印象の検索カバレッジ確認語。関連絵文字を最低4件想定。
軽い,evaluation,medium,4,評価・印象の検索カバレッジ確認語。関連絵文字を最低4件想定。
重い,evaluation,medium,4,評価・印象の検索カバレッジ確認語。関連絵文字を最低4件想定。
速い,evaluation,medium,4,評価・印象の検索カバレッジ確認語。関連絵文字を最低4件想定。
遅い,evaluation,medium,4,評価・印象の検索カバレッジ確認語。関連絵文字を最低4件想定。
大きい,evaluation,medium,4,評価・印象の検索カバレッジ確認語。関連絵文字を最低4件想定。
小さい,evaluation,medium,4,評価・印象の検索カバレッジ確認語。関連絵文字を最低4件想定。
丸い,evaluation,medium,4,評価・印象の検索カバレッジ確認語。関連絵文字を最低4件想定。
四角い,evaluation,medium,4,評価・印象の検索カバレッジ確認語。関連絵文字を最低4件想定。
清潔,evaluation,medium,4,評価・印象の検索カバレッジ確認語。関連絵文字を最低4件想定。
汚い,evaluation,medium,4,評価・印象の検索カバレッジ確認語。関連絵文字を最低4件想定。
ごつい,evaluation,low,2,評価・印象の検索カバレッジ確認語。関連絵文字を最低2件想定。
なめらか,evaluation,low,2,評価・印象の検索カバレッジ確認語。関連絵文字を最低2件想定。
荘厳,evaluation,low,2,評価・印象の検索カバレッジ確認語。関連絵文字を最低2件想定。
素朴,evaluation,low,2,評価・印象の検索カバレッジ確認語。関連絵文字を最低2件想定。
鋭い,evaluation,low,2,評価・印象の検索カバレッジ確認語。関連絵文字を最低2件想定。
鈍い,evaluation,low,2,評価・印象の検索カバレッジ確認語。関連絵文字を最低2件想定。
透明,evaluation,low,2,評価・印象の検索カバレッジ確認語。関連絵文字を最低2件想定。
濃い,evaluation,low,2,評価・印象の検索カバレッジ確認語。関連絵文字を最低2件想定。
薄い,evaluation,low,2,評価・印象の検索カバレッジ確認語。関連絵文字を最低2件想定。
